map_id,map_date,map_check_id,map_check_date,enl_id,pm_id,doi,status,author_name,pub_year,resolved,reason_for_exclusion,reason_for_contacting,follow_up,follow_up_author_name,email_address,has_been_contacted,permissions,extraction_initials,source_id1,source_id2,source_id3,country,admin1,admin2,admin3,site_name,area_type,rural_urban,lat,long,latlong_source,site_notes,aggregated_studies_count,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf,pv,po,pm,pk,pf_pv,pf_po,pf_pm,pv_pm,pv_po,po_pm,pk_pf,pk_pv,pk_pm,pk_po,pf_pv_po,pf_pv_pm,pf_po_pm,pv_po_pm,pf_pv_pk,pf_po_pk,pf_pm_pk,pv_po_pk,pv_pm_pk,po_pm_pk,pf_pv_po_pm,pf_pan_positive,pv_pan_positive,pf_pv_pan_positive,pan_positive_only,species_disaggregated,pf_pr,pv_pr,po_pr,pm_pr,pk_pr,method,rdt_type,pcr_type,study_notes,dhs_survey_text_id,surveyid
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000269,POINT,RURAL,-17.489971000000001,43.961641999999998,GPS,,,6,2016,6,2016,0.5,4,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000268,POINT,RURAL,-18.288744999999999,44.21651,GPS,,,6,2016,6,2016,0.5,4,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.034482758620689655,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000267,POINT,RURAL,-18.124361,44.209904000000002,GPS,,,6,2016,6,2016,0.6,4,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000266,POINT,URBAN,-18.058707999999999,44.026646999999997,GPS,,,6,2016,6,2016,0.5,3,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000265,POINT,URBAN,-18.041616999999999,44.033915999999998,GPS,,,6,2016,6,2016,0.6,4,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000262,POINT,RURAL,-18.675820999999999,44.624862999999998,GPS,,,6,2016,6,2016,1.3,4,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000261,POINT,RURAL,-17.746552999999999,45.679110999999999,GPS,,,5,2016,5,2016,0.5,4,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.081632653061224483,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000259,POINT,RURAL,-16.348244999999999,44.887239000000001,GPS,,,6,2016,6,2016,0.9,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.0625,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000258,POINT,RURAL,-16.620025999999999,44.625867,GPS,,,6,2016,6,2016,0.7,4,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,MELAKY,,,MD201600000257,POINT,RURAL,-16.744274000000001,44.828615999999997,GPS,,,6,2016,6,2016,0.8,4,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.1111111111111111,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000255,POINT,RURAL,-17.711856999999998,47.430548999999999,GPS,,,6,2016,6,2016,0.7,4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000254,POINT,RURAL,-17.845942999999998,47.904252999999997,GPS,,,6,2016,6,2016,0.5,4,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000253,POINT,RURAL,-17.460809000000001,47.497256,GPS,,,6,2016,6,2016,0.7,4,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000252,POINT,RURAL,-16.439674,47.354562999999999,GPS,,,6,2016,6,2016,0.5,4,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.029411764705882353,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000251,POINT,RURAL,-16.941253,47.584671999999998,GPS,,,6,2016,6,2016,0.5,4,44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.045454545454545456,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000250,POINT,RURAL,-16.728119,47.524166999999998,GPS,,,6,2016,6,2016,0.5,4,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.03125,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000249,POINT,RURAL,-16.842078000000001,46.840502999999998,GPS,,,5,2016,5,2016,0.8,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.050000000000000003,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000248,POINT,RURAL,-17.747875000000001,47.029200000000003,GPS,,,5,2016,5,2016,0.5,4,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000247,POINT,RURAL,-17.264796,46.437331999999998,GPS,,,5,2016,5,2016,0.6,4,42,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.047619047619047616,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000246,POINT,RURAL,-16.822693000000001,46.908588999999999,GPS,,,5,2016,5,2016,0.5,4,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000245,POINT,RURAL,-17.217344000000001,46.831783999999999,GPS,,,5,2016,5,2016,0.7,4,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000244,POINT,RURAL,-17.166070999999999,46.511921000000001,GPS,,,5,2016,6,2016,0.7,4,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000243,POINT,RURAL,-17.099771,46.781115,GPS,,,5,2016,5,2016,0.6,4,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.080000000000000002,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000242,POINT,URBAN,-16.949774000000001,46.846559999999997,GPS,,,5,2016,5,2016,0.6,4,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,BETSIBOKA,,,MD201600000241,POINT,URBAN,-16.957025999999999,46.823025999999999,GPS,,,5,2016,5,2016,0.7,4,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.052631578947368418,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,SOFIA,,,MD201600000240,POINT,RURAL,-16.242850000000001,47.290523,GPS,,,5,2016,5,2016,1.1,4,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,SOFIA,,,MD201600000239,POINT,RURAL,-14.644828,48.941025000000003,GPS,,,5,2016,5,2016,1.1,4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,SOFIA,,,MD201600000238,POINT,RURAL,-14.618648,48.920290999999999,GPS,,,5,2016,5,2016,1.1,4,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,SOFIA,,,MD201600000237,POINT,RURAL,-14.651733,48.286262999999998,GPS,,,5,2016,5,2016,1.3,4,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.29411764705882354,,,,,RDT,,,,MD2016MIS,505
